,idx_cd,eval_d,log_p,y
1305,RUSSELL2000,1987-10-31,4.772885590392684,-0.30765177682805456
1306,RUSSELL2000,1987-11-30,4.715816706075155,-0.055470996110265514
1307,RUSSELL2000,1987-12-31,4.790985632036302,0.07806624888093094
1308,RUSSELL2000,1988-01-31,4.830231896458205,0.04002657365886053
1309,RUSSELL2000,1988-02-29,4.91338990965742,0.08671351006068351
1310,RUSSELL2000,1988-03-31,4.956882838097009,0.044452608376194025
1311,RUSSELL2000,1988-04-30,4.976802705559804,0.02011959198030233
1312,RUSSELL2000,1988-05-31,4.9513805668789415,-0.025101717122956946
1313,RUSSELL2000,1988-06-30,5.01926462079431,0.07024121100657843
1314,RUSSELL2000,1988-07-31,5.009901691742504,-0.009319233311302244
1315,RUSSELL2000,1988-08-31,4.981824212242136,-0.027686970444992798
1316,RUSSELL2000,1988-09-30,5.004550150440307,0.02298613970083707
1317,RUSSELL2000,1988-10-31,4.992131822531696,-0.012341538667918761
1318,RUSSELL2000,1988-11-30,4.955897477656921,-0.035585738539898215
1319,RUSSELL2000,1988-12-31,4.992946431225172,0.03774382085768613
1320,RUSSELL2000,1989-01-31,5.035913101280524,0.04390310103820316
1321,RUSSELL2000,1989-02-28,5.040582370464208,0.004680187207488196
1322,RUSSELL2000,1989-03-31,5.061961921261596,0.021609730848861197
1323,RUSSELL2000,1989-04-30,5.104004196901704,0.04293856871437618
1324,RUSSELL2000,1989-05-31,5.144758178421734,0.041595822200631405
1325,RUSSELL2000,1989-06-30,5.12050562523191,-0.023960823179618784
1326,RUSSELL2000,1989-07-31,5.161924741642482,0.042288854378210505
1327,RUSSELL2000,1989-08-31,5.182906515036709,0.021203438395415386
1328,RUSSELL2000,1989-09-30,5.182962630185008,5.6116722783494666e-05
1329,RUSSELL2000,1989-10-31,5.120804230746387,-0.060265978340160564
1330,RUSSELL2000,1989-11-30,5.124975372534658,0.004179853108019271
1331,RUSSELL2000,1989-12-31,5.12574810119676,0.0007730272938100136
1332,RUSSELL2000,1990-01-31,5.032201072010817,-0.08930481283422465
1333,RUSSELL2000,1990-02-28,5.060821309009427,0.0290337313238076
1334,RUSSELL2000,1990-03-31,5.0976077814408045,0.037471468425057
1335,RUSSELL2000,1990-04-30,5.063164491108096,-0.03385687221169709
1336,RUSSELL2000,1990-05-31,5.129366028692254,0.0684420266936554
1337,RUSSELL2000,1990-06-30,5.1306085221219275,0.001243265644426117
1338,RUSSELL2000,1990-07-31,5.084567060250421,-0.044997634815515664
1339,RUSSELL2000,1990-08-31,4.938136283280016,-0.13621447588384616
1340,RUSSELL2000,1990-09-30,4.842137743895371,-0.09153465701383412
1341,RUSSELL2000,1990-10-31,4.7776939003019345,-0.06241123560044182
1342,RUSSELL2000,1990-11-30,4.848194792895451,0.07304552722376512
1343,RUSSELL2000,1990-12-31,4.884315927417586,0.03678142890753655
1344,RUSSELL2000,1991-01-31,4.970993158823812,0.0905446293494705
1345,RUSSELL2000,1991-02-28,5.075173815233827,0.10980092945827846
1346,RUSSELL2000,1991-03-31,5.141722034324962,0.06881249999999994
1347,RUSSELL2000,1991-04-30,5.139380249986818,-0.0023390445003215188
1348,RUSSELL2000,1991-05-31,5.183691840706733,0.0453080124260008
1349,RUSSELL2000,1991-06-30,5.121639852139167,-0.06016597510373434
1350,RUSSELL2000,1991-07-31,5.151961230186691,0.03078575264005723
1351,RUSSELL2000,1991-08-31,5.1880001422371675,0.03669618568038424
1352,RUSSELL2000,1991-09-30,5.193789837194102,0.005806487633297941
1353,RUSSELL2000,1991-10-31,5.220193649766458,0.026755481543158544
1354,RUSSELL2000,1991-11-30,5.172584061082273,-0.04649402605827968
1355,RUSSELL2000,1991-12-31,5.246550275726154,0.07677042580937798
1356,RUSSELL2000,1992-01-31,5.3237901625210675,0.08030119530303836
1357,RUSSELL2000,1992-02-29,5.3525687813799525,0.029196724507701388
1358,RUSSELL2000,1992-03-31,5.316599230226049,-0.03533033388586315
1359,RUSSELL2000,1992-04-30,5.279389356662517,-0.03652609357356762
1360,RUSSELL2000,1992-05-31,5.29088985071924,0.011566878980891815
1361,RUSSELL2000,1992-06-30,5.239840436789061,-0.04976828531130373
1362,RUSSELL2000,1992-07-31,5.27166533555061,0.03233672603901616
1363,RUSSELL2000,1992-08-31,5.240635286206952,-0.030553558590941887
1364,RUSSELL2000,1992-09-30,5.262068233872916,0.02166428306584045
1365,RUSSELL2000,1992-10-31,5.292751908075155,0.031159270012443008
1366,RUSSELL2000,1992-11-30,5.365087770181889,0.07501634069083418
1367,RUSSELL2000,1992-12-31,5.3981627015177525,0.03362798746550677
1368,RUSSELL2000,1993-01-31,5.429696444604416,0.032036199095022644
1369,RUSSELL2000,1993-02-28,5.4043426611913405,-0.02503507541213612
1370,RUSSELL2000,1993-03-31,5.434594984840585,0.03071457480775286
1371,RUSSELL2000,1993-04-30,5.405690854816366,-0.028490401396160547
1372,RUSSELL2000,1993-05-31,5.447297559559355,0.04248439394619852
1373,RUSSELL2000,1993-06-30,5.4525394723958245,0.0052556756989616815
1374,RUSSELL2000,1993-07-31,5.465694475956169,0.013241911292050546
1375,RUSSELL2000,1993-08-31,5.505900479744191,0.04102520724073755
1376,RUSSELL2000,1993-09-30,5.5331918407379455,0.02766718127894685
1377,RUSSELL2000,1993-10-31,5.557522801007268,0.024629373393951548
1378,RUSSELL2000,1993-11-30,5.523099574530755,-0.03383748746045223
1379,RUSSELL2000,1993-12-31,5.555243795829815,0.032666427059622194
1380,RUSSELL2000,1994-01-31,5.5854492876943365,0.03066630573494722
1381,RUSSELL2000,1994-02-28,5.581727828648895,-0.0037145429986492617
1382,RUSSELL2000,1994-03-31,5.525691954390062,-0.0544947840168718
1383,RUSSELL2000,1994-04-30,5.531609248914061,0.005934836294112955
